"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"MT, 3-4 sets","Strength","Strength: After warm-up, do 3-4 sets of MT—10-15 reps with heavier loads than in AA. Cool down 5-10 minutes by spinning. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","1","","2026-01-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS2. Isolated Leg Training 1h RPE","Bike","Isolated Leg Training (ILT) on indoor trainer. After warm-up, alternate 20-60 seconds with 1 leg/foot only—the other on a chair. Get a total of 7-10 minutes of ILT on each leg in this workout. Alternate legs as you feel like it. Comfortably high cadence. Focus on eliminating the dead spot at the top of your stroke by pushing your toes forward in your shoes at the top. Since you're training the nervous system, heart rate and power are not important here. Effort should remain low (about 4-5 on 0-10 RPE scale).","1","","2026-01-23","Note that the daily workouts are in no particular order. They may be done in the order that best suits your lifestyle and energy demands.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS2. With Aids 2200y","Swim","(You may substitute a masters swim workout.) WU: 500 your choice of swim and drills. MS: 300 paddles and buoy moderate (30”). 300 buoy only moderate (30”). 300 swim moderate (30”). 300 fins moderate (30”). CD: 500 easy. Total: 2200","0.564444444444444","2011.68005371094","2026-01-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1.5h (45min) HR+Pace","Run","This may be done outdoors or on a treadmill. Warm up 20 minutes. Then on a mostly flat course, run 45 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1.5","","2026-01-24","Note that the middle portion of this workout calls for a heart rate of 85% of LTHR. Disregard that and instead aim for a heart rate that is 30 bpm below your LTHR (lowest heart rate in z5) plus or minus 2 bpm. So if your LTHR is 150, the goal heart rate range for the mid portion would be 118-122.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-01-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Pedaling Skills Drills 1.5h Power","Bike","Pedaling Skills. Ride in power zones 1-2 on a mostly flat course (or indoor trainer). Include pedaling drills such as: a) drive pedal straight forward from 9 to 3 o'clock, b) pedal with foot against the top inside of your shoe trying to avoid touching the insole, c) try to touch toes to end of your shoes at start of downstroke. Stay as relaxed as you can while doing these drills. No tension in feet, legs, hands, etc.","1.5","","2026-01-25","Ride only 1 hour if indoors.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MT, 2-3 sets","Strength","Strength: After warm-up, do 2-3 (two or three) sets of MT—10-15 reps with heavier loads than in AA. Cool down 5-10 minutes by spinning. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.75","","2026-01-26","This is an R&R period through Friday. Take advantage of this by resting even if you don't feel you need it.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. PDLC Form Work 30min","Swim","For 30 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-01-27","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-01-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Drills, 6x50 20min","Swim","OPTIONAL workout. Warm-up + drills for your technique limiter. Then do 6x50 fast form (on 90 seconds). Long, easy cool down. FORM! OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.333333333333333","","2026-01-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-01-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MT, 2-3 sets","Strength","Strength: After warm-up, do 2-3 sets of MT—10-15 reps with heavier loads than in AA. Cool down 5-10 minutes by spinning. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.75","","2026-01-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T3. Half-Ironman Test set 2400y","Swim","Warm-up: 200 building speed on each 50 (slow-mod-faster-fastest). Rest 30 sec. Then 4 x 400 (10 sec recoveries) building speed on each 100 (slow-mod-faster-fastest). Recover 10 seconds after last one. Then swim a 500 time trial all-out. Your average 100 pace for this is your T-time for future workouts. Then swim easy, 100 cool down. (2400m/y)","0.634722222222222","2194.56005859375","2026-01-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1h (30min) HR+Pace","Run","(This may be done outdoors or on a treadmill.) Warm up 15 minutes. Then on a mostly flat course, run 30 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1","","2026-01-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2. FTP Testing 1h Power","Bike","Warm up for 15 minutes with gradually increasing intensity intervals as you feel like it. Then do a 5-minute, all-out effort on a flat to slightly uphill course. Recover for 5 minutes in zone 1. Now do a 20-minute, race-like time trial effort on a course with light traffic, few intersections, and no stoplights. It should be mostly flat or slightly uphill (2-3% grade). Maintain the highest speed/power possible for the entire 20 minutes. Finish with a short cool down spin in power zone 1. Your 5-minute average power is an indication of your VO2max power. Record your average heart rate and normalized power (NP) for the 20-minute TT. Multiply your 20-minute NP (and average HR) by 0.95 to determine your FTP (and FTHR). Zones may be set up for the bike (heart rate and/or power) by using these final numbers. For a more detailed explanation of how to set zones go to Chapter 4 in The Triathlete’s Training Bible. This test may also be done on an indoor trainer, but the numbers are likely to be lower than what you’d get on the road.","1","","2026-02-01","For the 20-minute test, decide at the end of every 5 minutes if you will increase, keep the same, or decrease power for the next 5 minutes. Warning: Most athletes start much too fast.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MS, 3-4 sets","Strength","Strength: Warm up 5-10 minutes. Then do 3-4 sets of Max Strength (MS) with 3-6 reps and heavy loads. Cool down 5-10 minutes spinning in easy gear/resistance at high rpm. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.75","","2026-02-02","This is the next, slightly more advanced phase of strength training. If you feel you are not quite ready for this, continue with the previous phase until ready.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Intervals/PDLC 1500y","Swim","(You may substitute a masters swim workout.) WU: 100 swim easy, (10 sec rest), 50 moderately fast, (10 sec rest), 100 swim moderate, (10 sec rest), 50 swim moderately fast, (10 sec rest), 100 swim build speed, (10 sec), 50 swim fast. MS: For the first set decrease times with each work interval. All aerobic—easy breathing. 4 x 100 moderate (10 sec rest between). Rest 2 minutes. 300 slow and easy. Form! 6 x 25 relaxed speed (15 sec). CD: 200 easy swim. Total: 1500 OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each). See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","0.423551777733697","1417.32006835938","2026-02-03","WU = warm-up, MS = main set, CD = cool down","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1h (30min) HR+Pace","Run","Warm up 15 minutes. Then on a mostly flat course, run 30 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1","","2026-02-03","This may be done outdoors or on a treadmill.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-02-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Drills, 6x50/PDLC 30min","Swim","OPTIONAL workout. Warm-up + drills for your technique limiter. Then do 6x50 fast form (on 90 seconds). Long, easy cool down. FORM! OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-02-04","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-02-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MF1. Force Reps 1h RPE","Bike","Force Reps. Warm up 20 minutes. Then go to a short but steep (6-8% grade) hill. An indoor trainer may also be used. Set it so that the rear-wheel resistance is very high. At the bottom of the hill come to an almost complete stop. Select a high gear such as 53x16 or 50x14. Then climb the hill 3-5 times taking only 8-12 complete revolutions of the cranks (count one leg only). STAY IN THE SADDLE. Your cadence will be quite low and you will have to apply a lot of force to the pedals. Effort must be maximal on each rep to get the benefit. Recover after each by riding very easily for about 3 minutes before doing the next rep. Heart rate is not observed. Power is the perfect gauge of how hard you are driving the pedals. Cool down for the remainder of the scheduled time. (NOTE: This workout is both high-reward and high-risk. Do not do it if you have a tendency for knee soreness. Instead ride in heart rate zone 2 or power zone 3 for 20 minutes after the warm-up and before the cool down. Or if while doing the force reps on the hill you sense knee soreness, stop the hill reps and do a long cool down.)","1","","2026-02-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE3. 200s Variable Pace 2350y","Swim","(You may substitute a masters swim workout.) WU: Build effort on each rep. 100 swim, 50 drill (your choice), 100 swim, 50 drill, 100 swim. MS: Each numbered set is done non-stop as a 200. #1—100 easy, 50 mod, 50 fast (10”). #2—50 easy, 100 mod, 50 fast (20”). #3—50 easy, 50 mod, 100 fast (30”). #4—100 fast, 50 easy, 50 mod (20”). #5—50 fast, 100 easy, 50 mod (10”). #6—50 fast, 50 easy, 100 mod (60”). Repeat #1, 2, 3. CD: 150 easy with drills. Total: 2350 OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.547222222222222","2148.84008789063","2026-02-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS3. 5 Advanced Strides Uphill 45min RPE","Run","Warm up about 20 minutes in zones 1-2. Then run 5x20 seconds up a moderate grade (3-5%) hill at RPE 9 (very high effort). Powerful, quick strides. Use arms vigorously. After each uphill, walk down slowly taking a minute or more for recovery. Cool down with heart rate in zone 1 for the remainder of the scheduled workout time.","0.75","","2026-02-05","(This is best outdoors but may be done on a treadmill.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Recovery Spin 1h Power","Bike","Very easy recovery spin on a mostly flat course (or on indoor trainer) in small chainring. Power in zone 1. Light on the pedals. Comfortably high rpm focusing on pedaling skills.","1","","2026-02-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MS, 3-4 sets","Strength","Strength: Warm up 5-10 minutes. Then do 3-4 sets of Max Strength (MS) with 3-6 reps and heavy loads. Cool down 5-10 minutes spinning in easy gear/resistance at high rpm. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.75","","2026-02-06","This workout is best done with several hours between it and the other workout today.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-02-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE3. Variably Paced 75s 2950y","Swim","(You may substitute a masters swim workout.) WU: 200 pull. 100 drills (your choice). 300 swim. 100 drills (your choice). MS: 4 x 75 (10 sec rest between) done as 25 fast, 25 slow, 25 fast. 1-minute rest. 4 x 75 (10 sec) done as 25 fast, 25 slow, 25 fast. 1-minute rest. 4 x 75 (10 sec) done as 25 fast, 25 slow, 25 fast. 1-minute rest. 4 x 75 (10 sec) done as 25 fast, 25 slow, 25 fast. 10 x 25 fast (30 sec). 8 x 50 fast (30 sec). CD: 500 very easy. Total: 2950","0.779458665847778","2788.92016601563","2026-02-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MF2. Work Uphills 1.5h HR","Run","Run on a hilly course with heart rate in zones 2-3 on uphills. Otherwise run with heart rate in zones 1-2. Avoid heart rate zones 4-5. Take it easy on the downhills.","1.5","","2026-02-07","(This is best done outdoors but may also be done on a treadmill by varying the grade. No more than 75 minutes if indoors.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-02-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1.5h (1h) HR+Power","Bike","Warm up 15 minutes. Then ride 1 hour steady at about 30 beats per minute (+/- 2 bpm) below the lowest HR in your 5a zone (FTHR—see Chapter 4 in The Triathlete’s Training Bible, 4th edition). Observe power at this effort. What was your normalized power (NP) for the 1-hour steady ride portion? Divide NP by the average HR for the hour to find your Efficiency Factor (EF is also shown on Training Peaks workout analysis page). Over time, as you repeat this workout, your EF should rise. Cool down.","1.5","","2026-02-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MS, 3-4 sets","Strength","Strength: Warm up 5-10 minutes. Then do 3-4 sets of Max Strength (MS). Cool down 5-10 minutes spinning in easy gear/resistance at high rpm. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.75","","2026-02-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME1. Descending Ladder 2300y","Swim","(You may substitute a masters swim workout.) WU: 5-10 minutes of mixed swimming and drills. MS: 500 at 10 sec slower than T-pace (60 sec rest). 300 faster than preceding pace (60 sec). 200 faster than preceding pace (60 sec). 200 faster than preceding pace (60 sec). 100 faster than preceding pace. CD: 1000 easy swim. Total—2300+","0.758846215142144","2630.1201171875","2026-02-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1h (30min) HR+Pace","Run","Warm up 15 minutes. Then on a mostly flat course, run 30 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1","","2026-02-10","This may be done outdoors or on a treadmill.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-02-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. PDLC Form Work 30min","Swim","For 30 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-02-11","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-02-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MF1. Force Reps 1h RPE","Bike","Force Reps. Warm up 20 minutes. Then go to a short but steep (6-8% grade) hill. An indoor trainer may also be used. Set it so that the rear-wheel resistance is very high. At the bottom of the hill come to an almost complete stop. Select a high gear such as 53x16 or 50x14. Then climb the hill 3-5 times taking only 8-12 complete revolutions of the cranks (count one leg only). STAY IN THE SADDLE. Your cadence will be quite low and you will have to apply a lot of force to the pedals. Effort must be maximal on each rep to get the benefit. Recover after each by riding very easily for about 3 minutes before doing the next rep. Heart rate is not observed. Power is the perfect gauge of how hard you are driving the pedals. Cool down for the remainder of the scheduled time. (NOTE: This workout is both high-reward and high-risk. Do not do it if you have a tendency for knee soreness. Instead ride in heart rate zone 2 or power zone 3 for 20 minutes after the warm-up and before the cool down. Or if while doing the force reps on the hill you sense knee soreness, stop the hill reps and do a long cool down.)","1","","2026-02-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE3. 200s Variable Pace 2350y","Swim","(You may substitute a masters swim workout.) WU: Build effort on each rep. 100 swim, 50 drill (your choice), 100 swim, 50 drill, 100 swim. MS: Each numbered set is done non-stop as a 200. #1—100 easy, 50 mod, 50 fast (10”). #2—50 easy, 100 mod, 50 fast (20”). #3—50 easy, 50 mod, 100 fast (30”). #4—100 fast, 50 easy, 50 mod (20”). #5—50 fast, 100 easy, 50 mod (10”). #6—50 fast, 50 easy, 100 mod (60”). Repeat #1, 2, 3. CD: 150 easy with drills. Total: 2350 OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.547222222222222","2148.84008789063","2026-02-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS3. 5 Advanced Strides Uphill 45min RPE","Run","Warm up about 20 minutes in zones 1-2. Then run 5x20 seconds up a moderate grade (3-5%) hill at RPE 9 (very high effort). Powerful, quick strides. Use arms vigorously. After each uphill, walk down slowly taking a minute or more for recovery. Cool down with heart rate in zone 1 for the remainder of the scheduled workout time.","0.75","","2026-02-12","(This is best done outdoors but may be done on a treadmill.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-02-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Form Work, Count Strokes/PDLC 30min","Swim","Swim several long, easy sets. Focus on form. Count strokes per length trying to reduce them with efficient technique. Cadence should be in the range of 45-55 strokes per minute. OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-02-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 30min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.5","","2026-02-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MS, 3-4 sets","Strength","Strength: Warm up 5-10 minutes. Then do 3-4 sets of Max Strength (MS) with 3-6 reps and heavy loads. Cool down 5-10 minutes spinning in easy gear/resistance at high rpm. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.75","","2026-02-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME1. Long-Short at T-pace 2700y","Swim","(You may substitute a masters swim workout.) WU: 4 x 50 descending/faster pace. 300 drills of your choice. MS: 4 x 300 at T-pace (30 sec rest between). 50 swim easy focused on form. 4 x 150 at T-pace (30 sec). CD: 7 x 50 easy swim focused on form Total—2700","0.615","2468.88012695313","2026-02-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MF2. Work Uphills 1.5h HR","Run","Run on a hilly course with heart rate in zones 2-3 on uphills. Otherwise run with heart rate in zones 1-2. Avoid heart rate zones 4-5. Take it easy on the downhills.","1.5","","2026-02-14","(This is best done outdoors but may also be done on a treadmill by varying the grade. No more than 75 minutes if indoors.)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-02-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 2h (1h) HR+Power","Bike","Warm up 30 minutes. Then ride 1 hour steady at about 30 beats per minute (+/- 2 bpm) below the lowest HR in your 5a zone (FTHR—see Chapter 4 in The Triathlete’s Training Bible, 4th edition). Observe power at this effort. What was your normalized power (NP) for the 1-hour steady ride portion? Divide NP by the average HR for the hour to find your Efficiency Factor (EF is also shown on Training Peaks workout analysis page). Over time, as you repeat this workout, your EF should rise. Do a long, easy cool down.","2","","2026-02-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MS, 3-4 sets","Strength","Strength: Warm up 5-10 minutes. Then do 3-4 sets of Max Strength (MS). Cool down 5-10 minutes spinning in easy gear/resistance at high rpm. For details on strength training, turn to Chapter 13 in The Triathlete's Training Bible","0.75","","2026-02-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME1. Long-Short at T-pace 2700y","Swim","(You may substitute a masters swim workout.) WU: 4 x 50 descending/faster pace. 300 drills of your choice. MS: 4 x 300 at T-pace (30 sec rest between). 50 swim easy focused on form. 4 x 150 at T-pace (30 sec). CD: 7 x 50 easy swim focused on form Total—2700","0.615","2468.88012695313","2026-02-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE2. Aerobic Threshold (AeT) Steady State 1h (30min) HR+Pace","Run","Warm up 15 minutes. Then on a mostly flat course, run 30 minutes at 30 bpm (+/-2 bpm) below your 5a zone (FTHR). Focus on good form with a comfortably high cadence and somewhat flat footstrike (not heavily on heels or toes). Cool down in heart rate or pace zone 1 for the remaining portion of this session. If using a GPS device (recommended), afterwards determine your 30-minute Efficiency Factor (EF). EF should gradually increase over several weeks. (EF is shown on the analysis feature of TrainingPeaks for this workout.)","1","","2026-02-17","This may be done outdoors or on a treadmill.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Ride 1h Power","Bike","Ride in power zones 1-2, but mostly zone 1. Flat course or indoor trainer. Low effort—light on pedals. Comfortably high rpm.","1","","2026-02-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SS1. Form Work, Count Strokes/PDLC 30min","Swim","Swim several long, easy sets. Focus on form. Count strokes per length trying to reduce them with efficient technique. Cadence should be in the range of 45-55 strokes per minute. OR ALTERNATIVE PDLC SWIM (your choice): For 30-45 minutes, swim 25 repeats moderately fast while focusing on only Posture, Direction, Length, or Catch. (20-30 sec rest after each)","0.5","","2026-02-18","See The Triathlete's Training Bible, 4th or 5th edition, chapter 12 for details on PDLC.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE1. Easy Run 45min HR/Pace","Run","Run in heart rate or pace zone 1 on a mostly flat, soft surface such as on a trail or in a park. VERY easy. Best done alone. If feeling very tired, shorten this run or don't do it.","0.75","","2026-02-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MF1. Force Reps 1h RPE","Bike","Force Reps. Warm up 20 minutes. Then go to a short but steep (6-8% grade) hill. An indoor trainer may also be used. Set it so that the rear-wheel resistance is very high. At the bottom of the hill come to an almost complete stop. Select a high gear such as 53x16 or 50x14. Then climb the hill 3-5 times taking only 8-12 complete revolutions of the cranks (count one leg only). STAY IN THE SADDLE. Your cadence will be quite low and you will have to apply a lot of force to the pedals. Effort must be maximal on each rep to get the benefit. Recover after each by riding very easily for about 3 minutes before doing the next rep. Heart rate is not observed. Power is the perfect gauge of how hard you are driving the pedals. Cool down for the remainder of the scheduled time. (NOTE: This workout is both high-reward and high-risk. Do not do it if you have a tendency for knee soreness. Instead ride in heart rate zone 2 or power zone 3 for 20 minutes after the warm-up and before the cool down. Or if while doing the force reps on the hill you sense knee soreness, stop the hill reps and do a long cool down.)","1","","2026-02-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE3. Short Intervals/Recoveries 2700y","Swim","(You may substitute a masters swim workout.) WU: 200 free, 100 drill (your choice). 4 x 100 done as 25 freestyle, 25 R arm only, 25 L arm only, 25 free. 6 x 100, Odds (1,3,5): 25 drill, 25 R arm only, 25 L arm only, 25 free. Evens (2,4,6): 25 swim, 25 drill, 25 pull, 25 swim. MS: Try to make the times for these as consistent as possible. Recoveries are in seconds within parentheses. 8 x 100 @ T-pace (10 sec rest after each). 8 x 50 @ T-pace (10 sec rest after each). CD: 200 easy. Total—2700","0.655555555555556","2468.88012695313","2026-02-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
